"work.data.Site.match","work.data.Lat","work.data.Biome","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"36.75 109.75",36.75,"Temperate",11.0166666666667,10.0166666666667,10.2916666666667,10.8333333333333,10.4916666666667,10.0083333333333,9.775,10.725,10.5916666666667,10.05,11.3583333333333,11.8,11.7333333333333,11.175,11.4416666666667,11.5083333333333,10.6916666666667,11.0833333333333,10.85,11.475,11.2166666666667,10.4083333333333,11.2416666666667,11.0416666666667,10.4,10.2833333333333,10.5916666666667,9.91666666666667,10.3666666666667,10.3916666666667
"56.25 13.75",56.25,"Temperate",5.575,7.675,8.6,8.73333333333333,7.54166666666667,8.225,7.01666666666667,8.01666666666667,7.5,6.33333333333333,7.60833333333333,7.35,8.15833333333333,8.60833333333333,7.60833333333333,8.36666666666667,7.83333333333333,7.54166666666667,7.81666666666667,8.35833333333333,8.59166666666667,8.50833333333333,7.80833333333333,6.225,8.34166666666667,7.44166666666667,7.81666666666667,9.34166666666667,8.6,8.41666666666667
"14.75 98.75",14.75,"Tropical",25.05,24.5833333333333,24.4083333333333,24.75,25.0833333333333,24.7583333333333,24.675,24.8833333333333,24.875,24.725,24.9333333333333,25.7916666666667,24.4666666666667,24.5583333333333,24.95,25.075,24.6666666666667,24.8666666666667,25.2083333333333,24.875,24.85,24.4083333333333,24.6416666666667,25.8,24.35,25.2583333333333,24.9583333333333,24.95,25.325,25.7083333333333
"42.75 -76.75",42.25,"Temperate",9.86666666666667,9.375,8.875,10.925,10.975,8.875,8.93333333333333,9.11666666666667,9.6,8.925,8.78333333333333,11.2166666666667,10.4166666666667,9.275,10.325,10.35,9.04166666666667,9.38333333333333,10.1,10.7416666666667,9.75,9.64166666666667,9.05833333333333,9.94166666666667,9.89166666666667,11.05,9.225,8.33333333333333,9.06666666666667,10.2083333333333
"34.25 105.75",34.25,"Temperate",8.93333333333333,8.175,7.99166666666667,8.64166666666667,8.48333333333333,8.05833333333333,8.19166666666667,8.91666666666667,8.88333333333333,8.36666666666667,9.225,9.59166666666667,9.21666666666667,8.975,8.95833333333333,9.39166666666667,8.68333333333333,8.66666666666667,8.33333333333333,9.20833333333333,8.79166666666667,8.35,8.675,8.675,8.26666666666667,8.18333333333333,9.05833333333333,8.725,9.1,9.44166666666667
"13.75 101.25",13.75,"Tropical",28.275,27.975,28.125,28.4916666666667,28.3416666666667,28.1416666666667,28.0583333333333,28.3666666666667,28.3416666666667,28.2083333333333,28.825,29.275,28.0416666666667,28.2666666666667,28.675,28.8666666666667,28.6416666666667,28.8166666666667,28.9833333333333,28.9083333333333,28.65,27.8666666666667,28.1583333333333,28.8,27.9,28.8166666666667,28.35,28.4166666666667,28.7416666666667,28.9583333333333
"58.25 26.75",58.25,"Temperate",2.95833333333333,5.41666666666667,6.86666666666667,6.325,6.26666666666667,6.125,4.625,4.94166666666667,5.99166666666667,4.125,5.525,4.95833333333333,6.725,7.30833333333333,6.13333333333333,6.00833333333333,5.825,5.975,6,6.525,6.68333333333333,6.99166666666667,5.76666666666667,4.775,6.69166666666667,5.1,6.40833333333333,6.6,7.09166666666667,6.24166666666667
"41.75 -80.25",41.75,"Temperate",7.09166666666667,6.48333333333333,7.025,8.63333333333333,8.525,7.1,6.79166666666667,6.45,7.51666666666667,7.18333333333333,7.325,9.75,8.68333333333333,7.95,8.75833333333333,8.8,7.53333333333333,8.075,8.38333333333333,9.06666666666667,8.58333333333333,8.125,7.7,8.49166666666667,8.80833333333333,9.81666666666667,8.04166666666667,7.025,8.24166666666667,9.18333333333333
"56.25 -4.25",56.25,"Temperate",7.775,8.34166666666667,8.475,8.64166666666667,8.125,7.95833333333333,7.65,7.90833333333333,8.40833333333333,7.86666666666667,8.84166666666667,8.36666666666667,8.375,8.36666666666667,7.96666666666667,8.5,8.60833333333333,8.70833333333333,8.69166666666667,8.80833333333333,8.85,8.2,8.39166666666667,7.3,8.6,7.975,8.00833333333333,9.09166666666667,8.31666666666667,8.36666666666667
"35.75 138.25",35.75,"Temperate",7.55,6.48333333333333,7.23333333333333,7.99166666666667,7.125,6.875,6.475,7.66666666666667,6.63333333333333,6.48333333333333,7.10833333333333,7.83333333333333,7.475,7.29166666666667,6.96666666666667,7.29166666666667,6.95,7.94166666666667,6.99166666666667,7.25,7.5,7.075,7.31666666666667,7.58333333333333,7.09166666666667,6.89166666666667,7.43333333333333,6.86666666666667,7.71666666666667,7.94166666666667
"42.25 1.25",42.25,"Temperate",11.125,11.05,11.6833333333333,11.5333333333333,10.7083333333333,10.5416666666667,10.45,11.75,11.6583333333333,10.9583333333333,12.0833333333333,11.3916666666667,11.4416666666667,11.5666666666667,11.4,11.5833333333333,12.1833333333333,11.3166666666667,10.95,12.0166666666667,11.2083333333333,9.65,10.3333333333333,8.89166666666667,10.7666666666667,10.2583333333333,9.4,10.2583333333333,10.7583333333333,10.325
"47.25 9.25",47.25,"Temperate",4.33333333333333,4.91666666666667,5.8,5.26666666666667,4.61666666666667,5.5,4.825,5.76666666666667,4.55,4.175,5.49166666666667,4.75833333333333,4.76666666666667,5.375,4.775,5.425,5.66666666666667,4.575,4.20833333333333,5.4,5.35,5.00833333333333,4.99166666666667,3.88333333333333,5.61666666666667,4.9,4.48333333333333,5.76666666666667,5.75833333333333,5.24166666666667
"48.75 14.25",48.75,"Temperate",5.33333333333333,6.64166666666667,6.88333333333333,6.975,5.98333333333333,7.3,6.3,7.60833333333333,6.39166666666667,5.01666666666667,6.09166666666667,6.46666666666667,6.55833333333333,7.15833333333333,6.30833333333333,7.275,6.95833333333333,6.325,6.16666666666667,6.64166666666667,7.575,7.29166666666667,6.975,5.94166666666667,7.20833333333333,6.975,6.73333333333333,8.1,8.20833333333333,7.45
"38.75 -120.75",38.75,"Temperate",15.5083333333333,16.0416666666667,15.025,15.1916666666667,15.7833333333333,16.4416666666667,15.7083333333333,15.7166666666667,16.3083333333333,16.7416666666667,16.4833333333333,13.925,14.9333333333333,15.1666666666667,15.475,15.3,16.475,15.4166666666667,15.8666666666667,16.4083333333333,15.8,16.5833333333333,15.225,13.5166666666667,13.3916666666667,14.8583333333333,15.0916666666667,15.9583333333333,15.6333333333333,15.0666666666667
"42.25 117.25",42.25,"Temperate",1.90833333333333,1.95833333333333,2.68333333333333,2.475,1.81666666666667,1.66666666666667,1.66666666666667,2.775,2.31666666666667,1.90833333333333,2.69166666666667,3.225,2.875,2.05,2.575,2.725,2.35833333333333,2.75,1.8,2.58333333333333,3.175,2.51666666666667,2.21666666666667,1.325,1.61666666666667,0.85,1.75833333333333,2.70833333333333,2.21666666666667,1.99166666666667
"56.75 -2.75",56.75,"Temperate",7.38333333333333,8.08333333333333,8.3,8.425,7.81666666666667,7.7,7.375,7.78333333333333,8.04166666666667,7.6,8.61666666666667,8.1,8.28333333333333,8.19166666666667,7.79166666666667,8.40833333333333,8.74166666666667,8.625,8.61666666666667,8.775,8.65833333333333,8.05833333333333,8.175,7.01666666666667,8.50833333333333,7.53333333333333,7.875,8.89166666666667,8.1,8.15833333333333
"44.75 -110.75",44.75,"Temperate",1.15,1.08333333333333,0.216666666666667,0.25,0.216666666666667,0.908333333333333,-0.883333333333333,0.6,0.116666666666667,-0.1,0.166666666666667,1.36666666666667,0.966666666666667,0.925,1.34166666666667,0.2,1.3,1.06666666666667,0.916666666666667,1.175,1.79166666666667,0.233333333333333,0.241666666666667,0.825,0.191666666666666,1.95,0.741666666666667,1.09166666666667,2.16666666666667,2.025
"31.75 103.75",31.75,"Temperate",5.30833333333333,4.83333333333333,4.60833333333333,5.16666666666667,4.88333333333333,4.34166666666667,4.81666666666667,5.35833333333333,4.975,4.88333333333333,4.85833333333333,5.925,5.6,5.08333333333333,5.58333333333333,5.64166666666667,5.575,5.24166666666667,5.29166666666667,6.01666666666667,5.85,5.33333333333333,5.8,5.575,5.23333333333333,5.20833333333333,5.19166666666667,4.75,5.20833333333333,5.25833333333333
"-85",-13.25,"Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-85.5",-13.25,"Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31.25 35.25",31.25,"Temperate",20.3833333333333,20.5333333333333,20.425,20.6916666666667,20.6166666666667,19.5,20.625,21.1083333333333,20.575,21.1166666666667,20.4,21.5916666666667,21.45,20.8166666666667,21.5416666666667,21.4083333333333,21.2666666666667,21.0583333333333,21.0166666666667,20.9916666666667,21.3916666666667,21.6083333333333,21.7583333333333,22.8916666666667,21.0666666666667,21.8583333333333,21.4416666666667,21.6,21.7333333333333,22.1916666666667
"44.25 115.75",44.25,"Boreal",2.01666666666667,2.58333333333333,3.20833333333333,3.15,2.20833333333333,1.79166666666667,1.50833333333333,2.825,2.9,2.225,3.45,3.83333333333333,3.31666666666667,2.26666666666667,3.40833333333333,3.53333333333333,2.51666666666667,3.49166666666667,2.275,2.9,3.85,3.23333333333333,2.73333333333333,2.25,2.15833333333333,1.00833333333333,2.45833333333333,4.125,3.36666666666667,2.85
"-65.5",-13.25,"Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40.75 -3.75",40.75,"Mediterranean",13.8,13.0916666666667,13.8166666666667,13.6083333333333,12.8083333333333,13.2916666666667,12.2333333333333,13.6833333333333,13.925,12.8083333333333,13.8333333333333,13.4333333333333,13.175,13.1666666666667,13.1333333333333,13.1166666666667,13.6083333333333,13.0333333333333,13.2083333333333,13.875,12.875,12.875,13.925,12.675,14.1833333333333,13.525,12.825,13.85,14.475,13.8083333333333
"40.75 -4.25",40.75,"Mediterranean",11.5833333333333,11.225,12.0833333333333,11.9,11.0333333333333,11.1166666666667,10.3,11.75,12.25,11.0916666666667,12.275,11.7666666666667,11.3333333333333,11.45,11.5833333333333,11.65,12.075,11.425,11.5416666666667,12.3416666666667,11.275,11.1666666666667,12.3333333333333,11.1416666666667,12.5916666666667,11.625,11.1,12.0666666666667,12.6166666666667,12.05
"49.75 8.75",49.75,"Temperate",8.23333333333333,9.66666666666667,10.1833333333333,10.025,9.24166666666667,10.0583333333333,9.275,10.5666666666667,9.68333333333333,8.11666666666667,9.86666666666667,9.79166666666667,10.2833333333333,10.6666666666667,10.0083333333333,10.5166666666667,10.6416666666667,9.68333333333333,10.075,9.91666666666667,10.1083333333333,9.825,9.53333333333333,8.34166666666667,10.2083333333333,9.525,9.23333333333333,10.8583333333333,10.5166666666667,10.075
"41.25 1.75",41.25,"Temperate",15.5416666666667,15.7833333333333,16.325,16.3166666666667,15.2583333333333,15.2416666666667,15.125,16.6916666666667,16.5833333333333,15.975,16.9166666666667,16.5416666666667,16.4333333333333,16.1333333333333,15.9583333333333,16.0166666666667,17.1583333333333,16.7333333333333,16.2083333333333,16.9416666666667,16.25,16.4166666666667,16.9416666666667,15.8333333333333,17.0583333333333,16.4,16.2833333333333,16.8916666666667,16.875,16.8833333333333
"-84.5",-12.75,"Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35.75 138.75",35.75,"Temperate",12.4166666666667,11.325,12.0833333333333,12.9,12.1166666666667,11.7083333333333,11.3583333333333,12.525,11.625,11.3583333333333,12.0833333333333,12.6083333333333,12.375,12.2666666666667,11.8166666666667,12.1416666666667,11.85,12.9333333333333,11.85,12.2,12.4166666666667,11.9666666666667,12.2833333333333,12.5166666666667,12.1,11.875,12.5,11.925,12.7166666666667,12.8416666666667
"-82",-12.75,"Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
