Record_number,Biome2,Ecosystem_type2,altitude,SOC_stock,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Rh_annual,Ra_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2,Outlier_rh,Outlier_ra
2297,Temperate,Forest,1450,121,2003,1,50.25,4.25,50.25 4.25,50.02,4.4,50.02 4.4,3893,310,Temperate,Natural,Deciduous Forest,Deciduous,8,1000,IRGA,Extraction,Mature,820,418,401.8,50.25 4.25,9.716666667,0.232777778,77.725,49.05333333,50.02,0,0
5074,Temperate,Forest,275,121,2010,1,36.25,109.75,36.25 109.75,36.42333333,109.5255,36.42333333 109.5255,6511,1353,Temperate,Natural,Deciduous Forest,Deciduous,10.6,498,IRGA,Exclusion,Mature,1393,1234,401,36.25 109.75,9.608333333,-0.268611111,56.31666667,141.54,36.42333333,1,0
298,Temperate,Grassland,44,88,2002,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,44,Temperate,Natural,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,920,520,400,34.75 -97.75,15.925,-0.135277778,62.18333333,-211.9333333,34.98,0,0
2731,Temperate,Forest,680,121,2002.5,2,35.75,135.25,35.75 135.25,35.62,135.18,35.62 135.18,3592,610,Temperate,Natural,Deciduous Forest,Deciduous,15.39166667,1739,IRGA,Exclusion,Mature,920,520,400,35.75 135.25,15.39166667,-0.015555556,187.9458333,-45.95666667,35.62,0,0
2033,Temperate,Forest,3378,121,2000.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Managed,Deciduous Forest,Deciduous,7.5,900,Gas Chromatography,Subtraction,Mature,770,370,400,51.75 9.75,9.575,0.870833333,62.5,-73.67333333,51.77,0,0
2029,Temperate,Forest,305,121,1999.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Managed,Deciduous Forest,Deciduous,7.5,900,Gas Chromatography,Subtraction,Mature,640,240,400,51.75 9.75,9.283333333,0.579166667,70.075,17.22666667,51.77,0,0
1006,Temperate,Forest,100,122,2005,1,49.75,-125.25,49.75 -125.25,49.87,-125.33,49.87 -125.33,3885,100,Temperate,Natural,Evergreen Forest,Evergreen,8.6,1450,IRGA,Exclusion,Mature,994,596,398,49.75 -125.25,5.683333333,0.571111111,124.575,7.283333333,49.87,0,0
1605,Temperate,Forest,386,121,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1602,300,Temperate,Unmanaged,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Mature,663,265,398,48.75 7.25,8.575,-1.0025,73.175,26.55666667,48.67,0,0
11,Boreal,Forest,260,64,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2534,260,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,Exclusion,Aggrading,570,354,216,55.75 -98.25,-5.744444444,-3.278611111,33.66111111,-97.02666667,55.86,0,0
1151,Boreal,Forest,80,122,1999,1,53.75,-104.75,53.75 -104.75,53.85,-104.63,53.85 -104.63,2630,80,Boreal,Unmanaged,Evergreen Forest,Evergreen,1.5,405,IRGA,Subtraction,Aggrading,440,230,210,53.75 -104.75,1.941666667,1.015277778,35.16666667,-25.54333333,53.85,0,0
