Record_number,Biome2,altitude,SOC_content,Outlier,SOC_stock,Ecosystem_type2,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2
1566,Boreal,163,78,0,176,Forest,2005,1,61.75,24.25,61.75 24.25,61.78,24.3,61.78 24.3,4604,164,Boreal,Natural,Evergreen Forest,Evergreen,4.275,626.2,IRGA,,Mature,655,61.75 24.25,4.275,0.162777778,626.2,-0.050000004,61.78
1567,Boreal,163,78,0,176,Forest,2005,1,61.75,24.25,61.75 24.25,61.78,24.3,61.78 24.3,4604,160,Boreal,Natural,Evergreen Forest,Evergreen,4.275,626.2,IRGA,,Mature,422,61.75 24.25,4.275,0.162777778,626.2,-0.050000004,61.78
1568,Boreal,163,78,0,176,Forest,2005,1,61.75,24.25,61.75 24.25,61.78,24.3,61.78 24.3,4604,157,Boreal,Natural,Evergreen Forest,Evergreen,4.275,626.2,IRGA,,Mature,451,61.75 24.25,4.275,0.162777778,626.2,-0.050000004,61.78
1569,Boreal,163,106,0,176,Forest,2005,1,61.75,24.25,61.75 24.25,61.78,24.3,61.78 24.3,4604,156,Boreal,Natural,Evergreen Forest,Evergreen,4.275,626.2,IRGA,,Mature,767,61.75 24.25,4.275,0.162777778,626.2,-0.050000004,61.78
1570,Boreal,163,106,0,176,Forest,2005,1,61.75,24.25,61.75 24.25,61.78,24.3,61.78 24.3,4604,154,Boreal,Natural,Evergreen Forest,Evergreen,4.275,626.2,IRGA,,Mature,505,61.75 24.25,4.275,0.162777778,626.2,-0.050000004,61.78
1571,Boreal,163,106,0,176,Wetland,2005,1,61.75,24.25,61.75 24.25,61.78,24.3,61.78 24.3,4604,152,Boreal,Natural,Wetland,Evergreen,4.275,626.2,IRGA,,Mature,548,61.75 24.25,4.275,0.162777778,626.2,-0.050000004,61.78
1572,Boreal,163,106,0,176,Wetland,2005,1,61.75,24.25,61.75 24.25,61.78,24.3,61.78 24.3,4604,151,Boreal,Natural,Wetland,Evergreen,4.275,626.2,IRGA,,Mature,532,61.75 24.25,4.275,0.162777778,626.2,-0.050000004,61.78
1573,Boreal,163,106,0,176,Wetland,2005,1,61.75,24.25,61.75 24.25,61.78,24.3,61.78 24.3,4604,150,Boreal,Natural,Wetland,Evergreen,4.275,626.2,IRGA,,Mature,344,61.75 24.25,4.275,0.162777778,626.2,-0.050000004,61.78
1574,Boreal,163,106,0,176,Wetland,2005,1,61.75,24.25,61.75 24.25,61.78,24.3,61.78 24.3,4604,149,Boreal,Natural,Wetland,Evergreen,4.275,626.2,IRGA,,Mature,438,61.75 24.25,4.275,0.162777778,626.2,-0.050000004,61.78
1577,Tropical,321,106,0,68,Forest,2003,1,-11.25,-55.25,-66.5,11.41,-55.33,-66.74,4609,423,Tropical,Natural,Evergreen Forest,Evergreen,24,2000,IRGA,,Mature,2887,-66.5,26.66666667,0.595,2247.8,114.1966667,-11.41
1604,Temperate,308,106,0,78,Forest,1996,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1602,300,Temperate,Unmanaged,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Mature,575,48.75 7.25,8.658333333,-0.919166667,827.9,-23.64333334,48.67
1605,Temperate,308,106,0,78,Forest,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1602,300,Temperate,Unmanaged,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Mature,663,48.75 7.25,8.575,-1.0025,878.1,26.55666667,48.67
1606,Temperate,604.4,106,0,97,Forest,1997,1,46.25,-116.25,46.25 -116.25,46.08,-116.08,46.08 -116.08,1647,1100,Temperate,Managed,Evergreen Forest,Evergreen,7.633333333,840,IRGA,,Mature,764,46.25 -116.25,7.633333333,-0.144722222,667.3,163.4433334,46.08
1619,Temperate,309.1,59,0,91,Grassland,1998,1,45.25,-92.75,45.25 -92.75,45,-93,45 -93,1766,309.1,Temperate,Natural,Grassland,Deciduous,8.325,857.8,IRGA,,Aggrading,768,45.25 -93.25,8.325,1.180555556,857.8,55.00333333,45
1620,Temperate,309.1,59,0,91,Grassland,1999,1,45.25,-92.75,45.25 -92.75,45,-93,45 -93,1766,309.1,Temperate,Natural,Grassland,Deciduous,8.316666667,863.8,IRGA,,Aggrading,624,45.25 -93.25,8.316666667,1.172222222,863.8,61.00333333,45
1625,Temperate,429,21,0,164.5,Forest,1997,1,47.25,7.25,47.25 7.25,47,7,47 7,1773,429,Temperate,Managed,Mixed Forest,Mixed,7.191666667,1233.5,IRGA,,Aggrading,795,47.25 6.75,7.191666667,-0.693611111,1233.5,-7.149999996,47
1629,Temperate,429,43,0,164.5,Forest,1998,1,47.25,7.25,47.25 7.25,47,7,47 7,1773,429,Temperate,Managed,Mixed Forest,Mixed,8.15,1052.1,IRGA,,Aggrading,946,47.25 6.75,8.15,0.264722222,1052.1,-188.55,47
1633,Temperate,491.1,28,0,95,Forest,1999,1,45.75,-89.75,45.75 -89.75,45.68,-89.63,45.68 -89.63,1818,490,Temperate,Unmanaged,Deciduous Forest,Deciduous,6,637.4,IRGA,,Aggrading,760,45.75 -89.75,6,1.405,637.4,-141.0766667,45.68
1687,Boreal,148,31,0,215,Forest,1992,1.5,62.75,30.75,62.75 30.75,62.78,30.97,62.78 30.97,983,144,Boreal,Natural,Evergreen Forest,Evergreen,6.361111111,831.4666667,IRGA,,Aggrading,712,62.75 30.75,6.361111111,3.613611111,831.4666667,166.0533334,62.78
1693,Temperate,333.5,28,0,69,Forest,1999,1,35.75,-84.25,35.75 -84.25,35.96,-84.29,35.96 -84.29,1927,365,Temperate,Natural,Deciduous Forest,Deciduous,15.94166667,1214.9,IRGA,,Mature,575,35.75 -84.25,15.94166667,0.923611111,1214.9,-121.4133334,35.96
1697,Temperate,291.7,33,0,133,Grassland,1995,1,43.25,-89.25,43.25 -89.25,43.28,-89.37,43.28 -89.37,1958,305,Temperate,Natural,Grassland,Deciduous,7.6,791,IRGA,,Mature,560,43.25 -89.25,8.541666667,0.679722222,856.7,-25.90666667,43.28
1712,Temperate,291.7,37,0,133,Grassland,1999,1,43.25,-89.25,43.25 -89.25,43.28,-89.37,43.28 -89.37,1958,305,Temperate,Natural,Grassland,Deciduous,7.6,791,IRGA,,Mature,1200,43.25 -89.25,9.241666667,1.379722222,939.4,56.79333334,43.28
1717,Temperate,1245,28,0,165,Forest,2000.5,2,46.25,11.25,46.25 11.25,46.02,11.43,46.02 11.43,4524,1740,Temperate,Natural,Evergreen Forest,Evergreen,4.2,1008,IRGA,,Mature,1066,46.25 11.25,6.716666667,-0.261111111,1412.6,438.3066667,46.02
1718,Temperate,1411,28,0,170,Forest,2000.5,2,45.75,11.25,45.75 11.25,45.96,11.28,45.96 11.28,4524,1370,Temperate,Natural,Evergreen Forest,Evergreen,6.7,1085,IRGA,,Mature,814,45.75 11.25,10.89166667,0.467777778,2089.05,226.4966666,45.96
1719,Temperate,1604,28,0,147,Grassland,2002.5,1,46.25,11.25,46.25 11.25,46.02,11.05,46.02 11.05,4524,1558,Temperate,Natural,Grassland,Deciduous,5.5,1189,IRGA,,Mature,1870,46.25 11.25,7.191666667,0.213888889,1425.4,451.1066666,46.02
1785,Temperate,153.9,14,0,69,Forest,1998,5,35.75,-79.25,35.75 -79.25,35.97,-79.08,35.97 -79.08,2018,153.9,Temperate,Managed,Evergreen Forest,Evergreen,14.83833333,1245.9,IRGA,Extraction,Aggrading,928,35.75 -79.25,14.83833333,-0.022222222,1245.9,67.14333334,35.97
1791,Temperate,363.8,15,0,152,Forest,1999,1,45.75,-121.75,45.75 -121.75,45.82,-121.95,45.82 -121.95,2049,355,Temperate,Natural,Evergreen Forest,Evergreen,8.7,2500,IRGA,,Mature,1194,45.75 -121.75,8.95,-0.138611111,2157.6,356.17,45.82
1792,Temperate,363.8,5,0,152,Forest,1999,1,45.75,-121.75,45.75 -121.75,45.82,-121.95,45.82 -121.95,2049,500,Temperate,Natural,Evergreen Forest,Evergreen,8.7,2500,IRGA,,Aggrading,1367,45.75 -121.75,8.95,-0.138611111,2157.6,356.17,45.82
1793,Temperate,363.8,5,0,152,Forest,1999,1,45.75,-121.75,45.75 -121.75,45.82,-121.95,45.82 -121.95,2049,500,Temperate,Natural,Evergreen Forest,Evergreen,8.7,2500,IRGA,,Aggrading,883,45.75 -121.75,8.95,-0.138611111,2157.6,356.17,45.82
1794,Temperate,173.3,5,0,84,Wetland,1999,1,40.25,-75.75,40.25 -75.75,40.4,-75.6,40.4 -75.6,2095,173.3,Temperate,Natural,Wetland,Evergreen,12.20833333,813.5,IRGA,Subtraction,Mature,305,40.25 -75.75,12.20833333,0.27,813.5,-324.3766667,40.4
1819,Temperate,1469,5,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,710,Temperate,Natural,Evergreen Forest,Evergreen,3.4,500,IRGA,,Mature,1230,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1820,Temperate,1469,5,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,669,Temperate,Natural,Evergreen Forest,Evergreen,3.4,500,IRGA,,Mature,1100,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1821,Temperate,1469,29,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,955,Temperate,Natural,Evergreen Forest,Evergreen,3.4,500,IRGA,,Mature,890,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1822,Temperate,1469,29,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,898,Temperate,Natural,Evergreen Forest,Evergreen,3.4,500,IRGA,,Mature,1030,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1823,Temperate,1469,29,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,1423,Temperate,Natural,Evergreen Forest,Evergreen,3.4,500,IRGA,,Mature,880,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1824,Temperate,1469,35,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,1450,Temperate,Natural,Evergreen Forest,Evergreen,3.4,500,IRGA,,Mature,750,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1825,Temperate,1469,25,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,568,Temperate,Natural,Evergreen Forest,Evergreen,3.15,2865.55,IRGA,,Mature,1310,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1826,Temperate,1469,35,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,940,Temperate,Natural,Evergreen Forest,Evergreen,3.15,2865.55,IRGA,,Mature,1090,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1827,Temperate,1469,25,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,1383,Temperate,Natural,Evergreen Forest,Evergreen,3.15,2865.55,IRGA,,Mature,610,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1828,Temperate,1469,106,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,480,Temperate,Natural,Evergreen Forest,Evergreen,3.15,2865.55,IRGA,,Mature,1210,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1829,Temperate,1469,106,0,111,Forest,1999.5,2,47.75,-123.75,47.75 -123.75,47.8,-123.6,47.8 -123.6,2325,175,Temperate,Natural,Evergreen Forest,Evergreen,7.2,3340,IRGA,,Mature,1010,47.75 -123.75,3.15,-0.114166667,2865.55,106.4966667,47.8
1836,Tropical,246,18,0,68,Forest,2005.8,1,23.25,112.25,23.25 112.25,23.17,112.17,23.17 112.17,4459,275,Tropical,Natural,Evergreen Forest,Evergreen,21,1927,Gas Chromatography,,Mature,604,23.25 112.25,21.675,0.488055556,1937.4,232.1133334,23.17
1840,Temperate,624,18,0,36,Forest,2000.5,1,31.25,35.25,31.25 35.25,31.33,35.05,31.33 35.05,4442,650,Temperate,Managed,Evergreen Forest,Evergreen,20.81666667,280,IRGA,,Aggrading,447,31.25 35.25,20.81666667,-0.338611111,232.6,38.11666667,31.33
1841,Temperate,624,42,0,36,Forest,2001.5,1,31.25,35.25,31.25 35.25,31.33,35.05,31.33 35.05,4442,650,Temperate,Managed,Evergreen Forest,Evergreen,21.54166667,280,IRGA,,Aggrading,440,31.25 35.25,21.54166667,0.386388889,218.8,24.31666667,31.33
1842,Temperate,624,89,0,36,Forest,2002.5,1,31.25,35.25,31.25 35.25,31.33,35.05,31.33 35.05,4442,650,Temperate,Managed,Evergreen Forest,Evergreen,21.40833333,280,IRGA,,Aggrading,454,31.25 35.25,21.40833333,0.253055556,266.5,72.01666667,31.33
1843,Temperate,624,89,0,36,Forest,2003.5,1,31.25,35.25,31.25 35.25,31.33,35.05,31.33 35.05,4442,650,Temperate,Managed,Evergreen Forest,Evergreen,21.26666667,280,IRGA,,Aggrading,364,31.25 35.25,21.26666667,0.111388889,261.7,67.21666667,31.33
1844,Temperate,624,15,0,36,Forest,2004.5,1,31.25,35.25,31.25 35.25,31.33,35.05,31.33 35.05,4442,650,Temperate,Managed,Evergreen Forest,Evergreen,21.05833333,280,IRGA,,Aggrading,424,31.25 35.25,21.05833333,-0.096944444,200.1,5.616666672,31.33
1845,Temperate,624,15,0,36,Forest,2005.5,1,31.25,35.25,31.25 35.25,31.33,35.05,31.33 35.05,4442,650,Temperate,Managed,Evergreen Forest,Evergreen,21.01666667,280,IRGA,,Aggrading,307,31.25 35.25,21.01666667,-0.138611111,178.7,-15.78333334,31.33
1846,Boreal,32,15,0,325,Forest,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,32,Boreal,Managed,Deciduous Forest,Deciduous,2.3,525,IRGA,Exclusion,Aggrading,682,66.25 23.75,3.855555556,2.705555556,593.2666667,-26.76666667,65.92
1847,Boreal,32,15,0,325,Forest,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,32,Boreal,Managed,Deciduous Forest,Deciduous,3.855555556,593.2666667,IRGA,Exclusion,Aggrading,805,66.25 23.75,3.855555556,2.705555556,593.2666667,-26.76666667,65.92
1848,Boreal,32,15,0,325,Forest,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,32,Boreal,Managed,Evergreen Forest,Evergreen,3.855555556,593.2666667,IRGA,Exclusion,Aggrading,559,66.25 23.75,3.855555556,2.705555556,593.2666667,-26.76666667,65.92
1849,Boreal,32,15,0,325,Forest,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,32,Boreal,Managed,Evergreen Forest,Evergreen,3.855555556,593.2666667,IRGA,Exclusion,Aggrading,524,66.25 23.75,3.855555556,2.705555556,593.2666667,-26.76666667,65.92
1850,Boreal,32,13,0,325,Forest,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,32,Boreal,Managed,Deciduous Forest,Deciduous,3.855555556,593.2666667,IRGA,Exclusion,Aggrading,938,66.25 23.75,3.855555556,2.705555556,593.2666667,-26.76666667,65.92
1851,Boreal,32,13,0,325,Forest,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,32,Boreal,Managed,Deciduous Forest,Deciduous,3.855555556,593.2666667,IRGA,Exclusion,Aggrading,668,66.25 23.75,3.855555556,2.705555556,593.2666667,-26.76666667,65.92
1854,Tropical,0,134,0,111,Forest,2004,1,9.25,-82.25,9.25 -82.25,9.35,-82.25,9.35 -82.25,4426,0,Tropical,Natural,Evergreen Forest,Evergreen,28.5,4000,IRGA,,Mature,605,9.25 -82.25,26.8,0.143333333,3072.5,422.1533333,9.35
1855,Tropical,0,134,0,111,Forest,2004,1,9.25,-82.25,9.25 -82.25,9.35,-82.25,9.35 -82.25,4426,0,Tropical,Natural,Evergreen Forest,Evergreen,28.5,4000,IRGA,,Mature,416,9.25 -82.25,26.8,0.143333333,3072.5,422.1533333,9.35
1856,Tropical,3,134,0,102,Forest,2006,1,-16.75,145.25,-16.75 145.25,16.5,145.45,-16.5 145.45,4426,3,Tropical,Natural,Evergreen Forest,Evergreen,24.3,2010,IRGA,,Mature,76,-16.25 145.25,23.68333333,0.013055556,3423.4,846.2733334,-16.5
1857,Tropical,0,134,0,111,Forest,2004,1,16.25,-88.25,16.25 -88.25,16.5,-88.1,16.5 -88.1,4426,0,Tropical,Natural,Evergreen Forest,Evergreen,27.1,2500,IRGA,,Mature,416,16.75 -88.75,23.68333333,0.218333333,1946,-232.6233334,16.5
1858,Tropical,0,134,0,111,Forest,2004,1,16.25,-88.25,16.25 -88.25,16.5,-88.1,16.5 -88.1,4426,0,Tropical,Natural,Evergreen Forest,Evergreen,27.1,2500,IRGA,,Mature,738,16.75 -88.75,23.68333333,0.218333333,1946,-232.6233334,16.5
1859,Tropical,6,134,0,86,Forest,2006,1,-18.25,146.25,-18.25 146.25,18.33,146.17,-18.33 146.17,4426,6,Tropical,Natural,Evergreen Forest,Evergreen,23.8,2120,IRGA,,Mature,114,-18.25 146.25,24.46666667,0.375277778,2455.8,477.31,-18.33
1860,Tropical,6,134,0,86,Forest,2006,1,-18.25,146.25,-18.25 146.25,18.33,146.17,-18.33 146.17,4426,6,Tropical,Natural,Evergreen Forest,Evergreen,23.8,2120,IRGA,,Mature,151,-18.25 146.25,24.46666667,0.375277778,2455.8,477.31,-18.33
1861,Tropical,313,134,0,73,Forest,2006,1,-19.25,147.25,-19.25 147.25,19.27,147.02,-19.27 147.02,4426,313,Tropical,Natural,Evergreen Forest,Evergreen,24.6,1170,IRGA,,Mature,1116,-19.25 146.75,25.14166667,0.3975,1021.2,10.10666666,-19.27
1862,Tropical,0,134,0,111,Forest,2006,1,-21.75,114.75,-21.75 114.75,21.73,114.58,-21.73 114.58,4426,0,Tropical,Natural,Evergreen Forest,Evergreen,24.7,260,IRGA,,Mature,189,-22.25 114.75,24.675,-0.600555556,414.3,157.1233333,-21.73
1863,Tropical,0,134,0,111,Forest,2006,1,-21.75,114.75,-21.75 114.75,21.73,114.58,-21.73 114.58,4426,0,Tropical,Natural,Evergreen Forest,Evergreen,24.7,260,IRGA,,Mature,984,-22.25 114.75,24.675,-0.600555556,414.3,157.1233333,-21.73
1864,Tropical,6,31,0,42,Forest,2004,1,-21.75,113.75,-21.75 113.75,21.97,113.95,-21.97 113.95,4426,6,Tropical,Natural,Evergreen Forest,Evergreen,24.7,260,IRGA,,Mature,605,-22.75 114.25,24.975,0.070833333,189.6,-49.60333333,-21.97
1865,Tropical,5,31,0,87,Forest,2005,1,-27.75,153.25,-27.75 153.25,27.87,153.33,-27.87 153.33,4426,5,Tropical,Natural,Evergreen Forest,Evergreen,20.6,1150,IRGA,,Mature,189,-27.75 153.25,20.48333333,0.181666667,1124.1,28.78,-27.87
1866,Temperate,63,31,0,125,Forest,2004,1,-36.75,175.25,-36.75 175.25,36.75,175.5,-36.75 175.5,4426,63,Temperate,Natural,Evergreen Forest,Evergreen,15.5,2000,IRGA,,Mature,208,-36.75 175.75,13.75833333,-0.449722222,1709.3,218.33,-36.75
1867,Temperate,63,31,0,125,Forest,2005,1,-36.75,175.25,-36.75 175.25,36.75,175.5,-36.75 175.5,4426,63,Temperate,Natural,Evergreen Forest,Evergreen,15.5,2000,IRGA,,Mature,416,-36.75 175.75,13.8,-0.408055556,1482,-8.97,-36.75
1868,Temperate,63,31,0,125,Forest,2005,1,-36.75,175.25,-36.75 175.25,36.75,175.5,-36.75 175.5,4426,63,Temperate,Natural,Evergreen Forest,Evergreen,15.5,2000,IRGA,,Mature,303,-36.75 175.75,13.8,-0.408055556,1482,-8.97,-36.75
1869,Temperate,176,16,0,162,Forest,2004,1,-36.75,174.25,-36.75 174.25,36.92,174.5,-36.92 174.5,4426,176,Temperate,Natural,Evergreen Forest,Evergreen,15.1,2500,IRGA,,Mature,322,-36.75 174.75,14.43333333,-0.377222222,1419.2,254.0166667,-36.92
1870,Temperate,176,16,0,162,Forest,2005,1,-36.75,174.25,-36.75 174.25,36.92,174.5,-36.92 174.5,4426,176,Temperate,Natural,Evergreen Forest,Evergreen,15.1,2500,IRGA,,Mature,719,-36.75 174.75,14.53333333,-0.277222222,1071.2,-93.98333333,-36.92
1871,Temperate,176,105,0,162,Forest,2005,1,-36.75,174.25,-36.75 174.25,36.92,174.5,-36.92 174.5,4426,176,Temperate,Natural,Evergreen Forest,Evergreen,15.1,2500,IRGA,,Mature,568,-36.75 174.75,14.53333333,-0.277222222,1071.2,-93.98333333,-36.92
1872,Tropical,554.1,18,0,151,Forest,2003.5,1,19.75,-155.75,19.75 -155.75,19.77,-155.94,19.77 -155.94,4422,608,Tropical,Natural,Evergreen Forest,Evergreen,16.825,725,IRGA,,Mature,1417,19.75 -155.75,16.825,0.149444444,424.5,-135.5133334,19.77
1873,Tropical,554.1,18,0,151,Forest,2003.5,1,19.75,-155.75,19.75 -155.75,19.77,-155.94,19.77 -155.94,4422,608,Tropical,Natural,Evergreen Forest,Evergreen,16.825,725,IRGA,,Mature,1024,19.75 -155.75,16.825,0.149444444,424.5,-135.5133334,19.77
1874,Tropical,554.1,18,0,151,Forest,2004.5,1,19.75,-155.75,19.75 -155.75,19.77,-155.94,19.77 -155.94,4422,608,Tropical,Natural,Evergreen Forest,Evergreen,17.06666667,725,IRGA,,Mature,1943,19.75 -155.75,17.06666667,0.391111111,1003.1,443.0866667,19.77
1875,Tropical,554.1,94,0,151,Forest,2004.5,1,19.75,-155.75,19.75 -155.75,19.77,-155.94,19.77 -155.94,4422,608,Tropical,Natural,Evergreen Forest,Evergreen,17.06666667,725,IRGA,,Mature,1384,19.75 -155.75,17.06666667,0.391111111,1003.1,443.0866667,19.77
1876,Tropical,67,56,0,68,Others,2001,1,22.75,112.75,22.75 112.75,22.68,112.9,22.68 112.9,4415,90,Subtropical,Managed,Others,,21.7,1900,IRGA,,Aggrading,2240,22.75 112.75,22.18333333,0.079722222,1997.2,236.02,22.68
1877,Temperate,436,42,0,128,Forest,2000,1,51.25,10.25,51.25 10.25,51.08,10.45,51.08 10.45,4383,440,Temperate,Natural,Deciduous Forest,Deciduous,8.4,899,IRGA,,Mature,892,51.25 10.25,8.658333333,1.280277778,747.3,35.18333333,51.08
1878,Temperate,436,57,0,128,Forest,2001,1,51.25,10.25,51.25 10.25,51.08,10.45,51.08 10.45,4383,440,Temperate,Natural,Deciduous Forest,Deciduous,8.4,899,IRGA,,Mature,870,51.25 10.25,7.8,0.421944444,661.2,-50.91666667,51.08
1879,Temperate,436,25,0,128,Forest,2002,1,51.25,10.25,51.25 10.25,51.08,10.45,51.08 10.45,4383,440,Temperate,Natural,Deciduous Forest,Deciduous,8.4,899,IRGA,,Mature,876,51.25 10.25,8.341666667,0.963611111,795.6,83.48333333,51.08
1881,Temperate,756,32,0,164,Forest,2004.5,1,35.25,127.75,35.25 127.75,35.45,127.63,35.45 127.63,4376,684,Temperate,Managed,Evergreen Forest,Evergreen,12.8,1322,IRGA,,Mature,884,35.25 127.75,10.13333333,0.566944444,1543,78.57666667,35.45
1882,Temperate,756,93,0,164,Forest,2004.5,1,35.25,127.75,35.25 127.75,35.45,127.63,35.45 127.63,4376,684,Temperate,Managed,Evergreen Forest,Evergreen,12.8,1322,IRGA,,Aggrading,1242,35.25 127.75,10.13333333,0.566944444,1543,78.57666667,35.45
1884,Temperate,1255,19,0,121,Forest,2001,1,44.25,-121.75,44.25 -121.75,44.45,-121.56,44.45 -121.56,4348,1255,Temperate,Natural,Evergreen Forest,Evergreen,3.341666667,828.2,IRGA,,Mature,612,44.25 -121.75,3.341666667,-0.703055556,828.2,-648.3,44.45
1885,Temperate,1255,43,0,121,Forest,2002,1,44.25,-121.75,44.25 -121.75,44.45,-121.56,44.45 -121.56,4348,1255,Temperate,Natural,Evergreen Forest,Evergreen,3.808333333,1518.4,IRGA,,Mature,768,44.25 -121.75,3.808333333,-0.236388889,1518.4,41.9,44.45
1886,Temperate,1255,24,0,121,Forest,2003,1,44.25,-121.75,44.25 -121.75,44.45,-121.56,44.45 -121.56,4348,1255,Temperate,Natural,Evergreen Forest,Evergreen,4.35,1176.1,IRGA,,Mature,806,44.25 -121.75,4.35,0.305277778,1176.1,-300.4,44.45
1887,Temperate,1255,31,0,121,Forest,2004,1,44.25,-121.75,44.25 -121.75,44.45,-121.56,44.45 -121.56,4348,1255,Temperate,Natural,Evergreen Forest,Evergreen,4.658333333,1374.7,IRGA,,Mature,1039,44.25 -121.75,4.658333333,0.613611111,1374.7,-101.8,44.45
1888,Temperate,1255,23,0,121,Forest,2005,1,44.25,-121.75,44.25 -121.75,44.45,-121.56,44.45 -121.56,4348,1255,Temperate,Natural,Evergreen Forest,Evergreen,4.233333333,1091,IRGA,Exclusion,Mature,836,44.25 -121.75,4.233333333,0.188611111,1091,-385.5,44.45
1889,Temperate,1255,93,0,121,Forest,2006,1,44.25,-121.75,44.25 -121.75,44.45,-121.56,44.45 -121.56,4348,1255,Temperate,Natural,Evergreen Forest,Evergreen,3.866666667,1621.4,IRGA,,Mature,803,44.25 -121.75,3.866666667,-0.178055556,1621.4,144.9,44.45
1902,Boreal,591.4,106,0,186,Forest,2004,1,54.25,-105.25,54.25 -105.25,54,-105.1,54 -105.1,4303,591.4,Boreal,Natural,Evergreen Forest,Evergreen,0.4,457,IRGA,Exclusion,Mature,611,54.25 -105.25,0.025,-0.019166667,491.1,34.75,54
1931,Tropical,180,106,0,56,Forest,2003,5,-2.75,-54.75,-57.5,2.9,-54.95,-57.85,4270,180,Tropical,Natural,Evergreen Forest,Evergreen,26.01333333,2000,IRGA,,Mature,1280,-57.5,26.01333333,0.217777778,1737.76,-334.7733334,-2.9
1933,Temperate,275.4,130,0,67,Grassland,2003,1,39.25,-121.25,39.25 -121.25,39.25,-121.28,39.25 -121.28,4257,345,Mediterranean,Natural,Grassland,Deciduous,16,750,IRGA,,Mature,1011,39.25 -121.25,16.31666667,0.068888889,899.4,37.02333334,39.25
1935,Temperate,275.4,61,0,67,Grassland,2004,1,39.25,-121.25,39.25 -121.25,39.25,-121.28,39.25 -121.28,4257,345,Mediterranean,Natural,Grassland,Deciduous,16,750,IRGA,,Mature,1480,39.25 -121.25,16.96666667,0.718888889,783.7,-78.67666667,39.25
1937,Temperate,275.4,72,0,67,Grassland,2005,1,39.25,-121.25,39.25 -121.25,39.25,-121.28,39.25 -121.28,4257,345,Mediterranean,Natural,Grassland,Deciduous,16,750,IRGA,,Mature,918,39.25 -121.25,15.76666667,-0.481111111,955.5,93.12333334,39.25
1939,Temperate,275.4,91,0,67,Grassland,2006,1,39.25,-121.25,39.25 -121.25,39.25,-121.28,39.25 -121.28,4257,345,Mediterranean,Natural,Grassland,Deciduous,16,750,IRGA,,Mature,887,39.25 -121.25,16.31666667,0.068888889,1214.6,352.2233333,39.25
1955,Temperate,1554.3,372,0,36,Grassland,1999.5,2,40.75,-104.75,40.75 -104.75,40.67,-104.75,40.67 -104.75,2403,1554.3,Temperate,Natural,Grassland,Deciduous,9.958333333,320,IRGA,,Mature,346,40.75 -104.75,9.958333333,1.043333333,369.75,23.56,40.67
