Record_number,Biome2,altitude,SOC_content,Outlier,SOC_stock,Ecosystem_type2,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2
6508,Temperate,1237,20,0,80,Forest,2006.5,3,37.75,112.25,37.75 112.25,37.73333333,112.3666667,37.73333333 112.3666667,7632,1443,Temperate,Unmanaged,Evergreen Forest,Evergreen,10,478,IRGA,,Mature,1027.5,37.75 112.25,6.955555556,0.689166667,429.6333334,-22.50666667,37.73333333
6509,Temperate,1237,20,0,80,Forest,2006.5,3,37.75,112.25,37.75 112.25,37.73333333,112.3666667,37.73333333 112.3666667,7632,1442,Temperate,Unmanaged,Evergreen Forest,Evergreen,10,478,IRGA,,Mature,1166.5,37.75 112.25,6.955555556,0.689166667,429.6333334,-22.50666667,37.73333333
6514,Temperate,494,20,0,109,Forest,2010.5,1,42.25,125.25,42.25 125.25,42.5,125,42.5 125,7659,494,Temperate,Managed,Deciduous Forest,Deciduous,6.2,669.6,IRGA,,Mature,617,42.75 124.75,5.7,-1.086666667,1109,357.8233333,42.5
6515,Temperate,494,14,0,109,Forest,2011.5,1,42.25,125.25,42.25 125.25,42.5,125,42.5 125,7659,494,Temperate,Managed,Deciduous Forest,Deciduous,6.2,669.6,IRGA,,Mature,521,42.75 124.75,6.166666667,-0.62,563.8,-187.3766666,42.5
6517,Tropical,8,14,0,78,Forest,2011,1,30.25,120.25,30.25 120.25,30.41666667,120.4333333,30.41666667 120.4333333,7675,200,Subtropical,Unmanaged,Deciduous Forest,Deciduous,15.9,1450,IRGA,,Mature,755,30.25 120.25,17.68333333,0.171388889,1690.4,203.45,30.41666667
6537,Temperate,943,16,0,76,Desert,2007.5,1.5,32.75,105.25,32.75 105.25,32.53333333,105.0333333,32.53333333 105.0333333,7688,1300,Temperate,Natural,Desert,Deciduous,10,186,IRGA,Exclusion,Mature,33,32.75 105.25,14.98888889,-1.892777778,499.9333333,-186.4,32.53333333
6538,Temperate,943,12,0,76,Desert,2007.5,1.5,32.75,105.25,32.75 105.25,32.53333333,105.0333333,32.53333333 105.0333333,7688,1300,Temperate,Unmanaged,Desert,Deciduous,10,186,IRGA,Exclusion,Mature,106,32.75 105.25,14.98888889,-1.892777778,499.9333333,-186.4,32.53333333
6540,Temperate,0,12,0,176,Wetland,2011.5,1,31.75,121.75,31.75 121.75,31.63333333,121.9666667,31.63333333 121.9666667,7694,0,Temperate,Natural,Wetland,Deciduous,15.3,1003.7,IRGA,,Mature,1200,31.75 121.75,15.95833333,-0.260833333,884.6,-254.8933333,31.63333333
6541,Temperate,0,14,0,176,Wetland,2011.5,1,31.75,121.75,31.75 121.75,31.63333333,121.9666667,31.63333333 121.9666667,7694,0,Temperate,Natural,Wetland,Deciduous,15.3,1003.7,IRGA,,Mature,1347,31.75 121.75,15.95833333,-0.260833333,884.6,-254.8933333,31.63333333
6542,Temperate,0,14,0,176,Wetland,2011.5,1,31.75,121.75,31.75 121.75,31.63333333,121.9666667,31.63333333 121.9666667,7694,0,Temperate,Natural,Wetland,Deciduous,15.3,1003.7,IRGA,,Mature,976,31.75 121.75,15.95833333,-0.260833333,884.6,-254.8933333,31.63333333
6543,Temperate,0,14,0,176,Wetland,2011,2.5,31.75,121.75,31.75 121.75,31.63333333,121.9666667,31.63333333 121.9666667,7695,0,Temperate,Natural,Wetland,Deciduous,15.3,1003.7,IRGA,,Mature,1105,31.75 121.75,14.69333333,-1.525833333,966.12,-173.3733334,31.63333333
6545,Temperate,221,14,0,73,Forest,2011,1,30.25,119.25,30.25 119.25,30.2,119.23,30.2 119.23,7727,221,Temperate,,Evergreen Forest,Evergreen,15.8,1400,IRGA,,,571,30.25 119.25,15.025,0.0425,1707.4,-17.21,30.2
6550,Tropical,287,14,0,60,Forest,2012.5,1.5,26.75,117.75,26.75 117.75,26.8,117.9666667,26.8 117.9666667,8007,287,Subtropical,Managed,Deciduous Forest,Deciduous,16.74444444,1716.2,IRGA,Exclusion,Mature,1022,26.75 117.75,16.74444444,-1.873055556,1716.2,-38.39333333,26.8
6551,Tropical,287,30,0,60,Forest,2012.5,1.5,26.75,117.75,26.75 117.75,26.8,117.9666667,26.8 117.9666667,8007,287,Subtropical,Managed,Evergreen Forest,Evergreen,16.74444444,1716.2,IRGA,Exclusion,Mature,768,26.75 117.75,16.74444444,-1.873055556,1716.2,-38.39333333,26.8
6572,Tropical,4,30,0,76,Forest,2012,1.5,29.75,121.75,29.75 121.75,29.86666667,121.65,29.86666667 121.65,8030,200,Subtropical,Unmanaged,Evergreen Forest,Evergreen,16,1374,IRGA,,Mature,946,29.75 121.75,18.03333333,2.403888889,1736.733334,295.3833334,29.86666667
6579,Tropical,139,31,0,77,Forest,2010,1,27.75,114.75,27.75 114.75,27.67,114.625,27.67 114.625,8032,260,Subtropical,Managed,Evergreen Forest,Evergreen,16.8,1590,IRGA,,Aggrading,120,27.75 114.75,18.14166667,0.016944444,1939.9,275.5133333,27.67
