No.,Respiration_data_type,Study_number_in_SRDB,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm,TF,UT,SN,Copy,DLD_count,DE_count,
343,Rs,5327,"Sheng, H; Yang, YS; Yang, ZJ; Chen, GS; Xie, JS; Guo, JF; Zou, SQ",The dynamic response of soil respiration to land-use changes in subtropical China,GLOBAL CHANGE BIOLOGY,16,3,1107,1121,2010,,0,Y,Y,10.1111/j.1365-2486.2009.01988.x,N,2,8/25/2010,,,WOS:000274419500016,1354-1013,,2156,2110,
344,Rs,5385,"Kim, DG; Mu, S; Kang, S; Lee, D","Factors controlling soil CO2 effluxes and the effects of rewetting on effluxes in adjacent deciduous, coniferous, and mixed forests in Korea",SOIL BIOLOGY & BIOCHEMISTRY,42,4,576,585,2010,,0,Y,Y,10.1016/j.soilbio.2009.12.005,N,1,8/25/2010,,,WOS:000275921100007,0038-0717,,2177,2131,
345,Rs,5389,"Strebel, D; Elberling, B; Morgner, E; Knicker, HE; Cooper, EJ",Cold-season soil respiration in response to grazing and warming in High-Arctic Svalbard,POLAR RESEARCH,29,1,46,57,2010,,0,Y,Y,10.1111/j.1751-8369.2010.00154.x,N,2,8/25/2010,,,WOS:000276036200006,0800-0395,,2178,2132,
346,Rs,5390,"Morgner, E; Elberling, B; Strebel, D; Cooper, EJ",The importance of winter in annual ecosystem respiration in the High Arctic: effects of snow depth in two vegetation types,POLAR RESEARCH,29,1,58,74,2010,,3,Y,Y,10.1111/j.1751-8369.2010.00151.x,N,2,8/25/2010,,,WOS:000276036200007,0800-0395,,2179,2133,
347,Rs,5391,"Bjorkman, MP; Morgner, E; Bjork, RG; Cooper, EJ; Elberling, B; Klemedtsson, L",A comparison of annual and seasonal carbon dioxide effluxes between sub-Arctic Sweden and High-Arctic Svalbard,POLAR RESEARCH,29,1,75,84,2010,,2,Y,Y,10.1111/j.1751-8369.2010.00150.x,N,1,8/25/2010,,,WOS:000276036200008,0800-0395,,2180,2134,
348,Rs,5392,"Hermle, S; Lavigne, MB; Bernier, PY; Bergeron, O; Pare, D","Component respiration, ecosystem respiration and net primary production of a mature black spruce forest in northern Quebec",TREE PHYSIOLOGY,30,4,527,540,2010,,0,Y,Y,10.1093/treephys/tpq002,N,2,8/25/2010,,,WOS:000276305100009,0829-318X,,2181,2135,
349,"Rs,Ra,Rh",5401,Wang Wei; Peng Shushi; Wang Tao; Fang Jingyun,"Winter soil CO2 efflux and its contribution to annual soil respiration in different ecosystems of a forest-steppe ecotone, north China",Soil Biology & Biochemistry,42,3,451,458,2010,,0,Y,Y,10.1016/j.soilbio.2009.11.028,N,1,8/25/2010,,,BIOSIS:PREV201000200592,0038-0717,,2182,2136,
350,Rs,5403,"Joos, O; Hagedorn, F; Heim, A; Gilgen, AK; Schmidt, MWI; Siegwolf, RTW; Buchmann, N",Summer drought reduces total and litter-derived soil CO2 effluxes in temperate grassland - clues from a C-13 litter addition experiment,BIOGEOSCIENCES,7,3,1031,1041,2010,,0,Y,Y,10.5194/bg-7-1031-2010,N,2,8/25/2010,,,WOS:000276180300016,1726-4170,,2183,2137,
351,Rs,5404,"Tamai, K",Effects of environmental factors and soil properties on topographic variations of soil respiration,BIOGEOSCIENCES,7,3,1133,1142,2010,,0,Y,Y,10.5194/bg-7-1133-2010,N,1,8/25/2010,,,WOS:000276180300023,1726-4170,,2184,2138,
352,Rs,5417,"Ruehr, NK; Knohl, A; Buchmann, N","Environmental variables controlling soil respiration on diurnal, seasonal and annual time-scales in a mixed mountain forest in Switzerland",BIOGEOCHEMISTRY,98,1月3日,153,170,2010,,0,Y,Y,10.1007/s10533-009-9383-z,N,2,8/25/2010,,,WOS:000276605000012,0168-2563,,2187,2141,
353,Rs,5436,"Wang, J; Epstein, HE; Wang, LX",Soil CO2 flux and its controls during secondary succession,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,115,,,,2010,,0,Y,Y,10.1029/2009JG001084,N,1,8/25/2010,,,WOS:000277034500001,0148-0227,,2197,2151,
354,Rs,5438,"Dore, S; Kolb, TE; Montes-Helu, M; Eckert, SE; Sullivan, BW; Hungate, BA; Kaye, JP; Hart, SC; Koch, GW; Finkral, A",Carbon and water fluxes from ponderosa pine forests disturbed by wildfire and thinning,ECOLOGICAL APPLICATIONS,20,3,663,683,2010,,0,Y,Y,10.1890/09-0934.1,N,2,8/25/2010,,,WOS:000277077400006,1051-0761,,2198,2152,
355,"Rs,Ra,Rh",5441,Tian DaLun; Wang GuangJun; Yan WenDe; Xiang WenHua; Peng ChangHui,Soil respiration dynamics in Cinnamomum camphora forest and a nearby Liquidambar formosana forest in Subtropical China,Chinese Science Bulletin,55,8,736,743,2010,,0,Y,Y,10.1007/s11434-009-0452-4,N,1,8/25/2010,,,BIOSIS:PREV201000221531,1001-6538,,2200,2154,
356,Rs,5448,"van Straaten, O; Veldkamp, E; Kohler, M; Anas, I","Spatial and temporal effects of drought on soil CO2 efflux in a cacao agroforestry system in Sulawesi, Indonesia",BIOGEOSCIENCES,7,4,1223,1235,2010,,0,Y,Y,10.5194/bg-7-1223-2010,N,1,8/25/2010,,,WOS:000277185300002,1726-4170,,2203,2158,
357,Rs,5458,"Wang, X; Jiang, YL; Jia, BR; Wang, FY; Zhou, GS","Comparison of soil respiration among three temperate forests in Changbai Mountains, China",CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,40,4,788,795,2010,,0,Y,Y,10.1139/X10-010,N,1,8/25/2010,,,WOS:000277477300017,0045-5067,,2207,2162,
358,Rs,5467,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Seasonal variation in soil CO2 efflux in evergreen coniferous and broad-leaved deciduous forests in a cool-temperate forest, central Korea",ECOLOGICAL RESEARCH,25,3,609,617,2010,,1,Y,Y,10.1007/s11284-010-0691-5,N,1,8/25/2010,,,WOS:000277596100012,0912-3814,,2210,2165,
359,Rs,5470,"Qi, YC; Dong, YS; Liu, LX; Liu, XR; Peng, Q; Xiao, SS; He, YT","Spatial-temporal variation in soil respiration and its controlling factors in three steppes of Stipa L. in Inner Mongolia, China",SCIENCE CHINA-EARTH SCIENCES,53,5,683,693,2010,,0,Y,Y,10.1007/s11430-010-0039-6,N,1,8/25/2010,,,WOS:000277645400007,1674-7313,,2212,2167,
360,Rs,5474,"Iqbal, J; Hu, RG; Feng, ML; Lin, S; Malghani, S; Ali, IM","Microbial biomass, and dissolved organic carbon and nitrogen strongly affect soil respiration in different land uses: A case study at Three Gorges Reservoir Area, South China",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,137,3月4日,294,307,2010,,0,Y,Y,10.1016/j.agee.2010.02.015,N,1,8/25/2010,,,WOS:000277846300009,0167-8809,,2214,2169,
361,Rs,5516,"Russell, AE; Raich, JW; Arrieta, RB; Valverde-Barrantes, O; Gonzalez, E",Impacts of individual tree species on carbon dynamics in a moist tropical forest environment,ECOLOGICAL APPLICATIONS,20,4,1087,1100,2010,,0,Y,Y,,N,2,8/25/2010,,,WOS:000278865200015,1051-0761,,2230,2185,
362,"Rs,Ra,Rh",5519,"Phillips, SC; Varner, RK; Frolking, S; Munger, JW; Bubier, JL; Wofsy, SC; Crill, PM","Interannual, seasonal, and diel variation in soil respiration relative to ecosystem respiration at a wetland to upland slope at Harvard Forest",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,115,,,,2010,,0,Y,Y,10.1029/2008JG000858,N,1,8/25/2010,,,WOS:000278987700001,0148-0227,,2232,2187,
363,Rs,5520,"Ohtsuka, T; Shizu, Y; Nishiwaki, A; Yashiro, Y; Koizumi, H",Carbon cycling and net ecosystem production at an early stage of secondary succession in an abandoned coppice forest,JOURNAL OF PLANT RESEARCH,123,4,393,401,2010,,0,Y,Y,10.1007/s10265-009-0274-0,N,1,8/25/2010,,,WOS:000278939900002,0918-9440,,2233,2188,
364,"Rs,Ra,Rh",5521,"Noh, NJ; Son, Y; Lee, SK; Yoon, TK; Seo, KW; Kim, C; Lee, WK; Bae, SW; Hwang, J",Influence of stand density on soil CO2 efflux for a Pinus densiflora forest in Korea,JOURNAL OF PLANT RESEARCH,123,4,411,419,2010,,0,Y,Y,10.1007/s10265-010-0331-8,N,1,8/25/2010,,,WOS:000278939900004,0918-9440,,2234,2189,
365,Rs,5522,"Yashiro, Y; Lee, NYM; Ohtsuka, T; Shizu, Y; Saitoh, TM; Koizumi, H",Biometric-based estimation of net ecosystem production in a mature Japanese cedar (Cryptomeria japonica) plantation beneath a flux tower,JOURNAL OF PLANT RESEARCH,123,4,463,472,2010,,0,Y,Y,10.1007/s10265-010-0323-8,N,1,8/25/2010,,,WOS:000278939900009,0918-9440,,2235,2190,
366,"Rs,Ra,Rh",5524,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",JOURNAL OF PLANT RESEARCH,123,4,485,495,2010,,1,Y,Y,10.1007/s10265-010-0316-7,N,1,8/25/2010,,,WOS:000278939900011,0918-9440,,2237,2192,
367,"Rs,Ra,Rh",5526,"Dhital, D; Yashiro, Y; Ohtsuka, T; Noda, H; Shizu, Y; Koizumi, H","Carbon dynamics and budget in a Zoysia japonica grassland, central Japan",JOURNAL OF PLANT RESEARCH,123,4,519,530,2010,,0,Y,Y,10.1007/s10265-009-0289-6,N,1,8/25/2010,,,WOS:000278939900014,0918-9440,,2238,2193,
368,Rs,5538,"Sanderman, J; Amundson, R",Soil Carbon Dioxide Production and Climatic Sensitivity in Contrasting California Ecosystems,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,74,4,1356,1366,2010,,0,Y,Y,10.2136/sssaj2009.0290,N,1,8/25/2010,,,WOS:000279363600030,0361-5995,,2244,2199,
369,Rs,5545,"Tan, ZH; Zhang, YP; Yu, GR; Sha, LQ; Tang, JW; Deng, XB; Song, QH",Carbon balance of a primary tropical seasonal rain forest,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,115,,,,2010,,0,Y,Y,10.1029/2009JD012913,N,2,8/25/2010,,,WOS:000279523900001,0148-0227,,2247,2202,
370,"Rs,Ra,Rh",5553,"Jassal, RS; Black, TA; Trofymow, JA; Roy, R; Nesic, Z",Soil CO2 and N2O flux dynamics in a nitrogen-fertilized Pacific Northwest Douglas-fir stand,GEODERMA,157,3月4日,118,125,2010,,0,Y,Y,10.1016/j.geoderma.2010.04.002,N,2,8/25/2010,,,WOS:000279749800006,0016-7061,,2250,2205,
371,Rs,5573,"Cleveland, CC; Wieder, WR; Reed, SC; Townsend, AR",Experimental drought in a tropical rain forest increases soil carbon dioxide losses to the atmosphere,ECOLOGY,91,8,2313,2323,2010,,0,Y,Y,10.1890/09-1582.1,N,2,8/25/2010,,,WOS:000280153500015,0012-9658,,2257,2212,
372,Rs,5587,"Misson, L; Rocheteau, A; Rambal, S; Ourcival, JM; Limousin, JM; Rodriguez, R",Functional changes in the control of carbon fluxes after 3 years of increased drought in a Mediterranean evergreen forest?,GLOBAL CHANGE BIOLOGY,16,9,2461,2475,2010,,0,Y,Y,10.1111/j.1365-2486.2009.02121.x,N,2,8/25/2010,,,WOS:000280633700006,1354-1013,,2262,2217,
373,Rs,5591,Liang Yu; Xu Jia-wei; Hu Yuan-man; Chang Yu; Bu Ren-cang,Soil respiration of degraded Korean pine forest ecosystem in Changbai Mountains,Yingyong Shengtai Xuebao,21,5,1097,1104,2010,,0,Y,Y,,Y,1,8/25/2010,,,BIOSIS:PREV201000462490,1001-9332,,2264,2219,Y
374,Rs,5594,"Wickland, KP; Neff, JC; Harden, JW",The role of soil drainage class in carbon dioxide exchange and decomposition in boreal black spruce (Picea mariana) forest stands,CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,40,11,2123,2134,2010,,,Y,Y,10.1139/X10-163,N,1,12/15/2010,"((soil respiration or soil surface co2 flux) and (boreal or arctic)), Timespan=Year to Date",,ISI:000283921700006,0045-5067,,2265,2220,
375,Rs,5599,"Ernfors, M; Sikstrom, U; Nilsson, M; Klemedtsson, L",Effects of wood ash fertilization on forest floor greenhouse gas emissions and tree growth in nutrient poor drained peatland forests,SCIENCE OF THE TOTAL ENVIRONMENT,408,20,4580,4590,2010,,,Y,Y,10.1016/j.scitotenv.2010.06.024,N,1,12/15/2010,"((soil respiration or soil surface co2 flux) and (boreal or arctic)), Timespan=Year to Date",,ISI:000281931500037,0048-9697,,2268,2223,
376,Rs,5640,"Bond-Lamberty, Ben; Bronson, Dustin; Bladyka, Emma; Gower, S.T.", A comparison of trenched plot techniques for partitioning soil respiration,Soil Biology and Biochemistry,,,,,2011,,,Y,Y,,N,1,,,,,,,2272,2227,
377,"Rs,Ra,Rh",5646,"Stoffel, JL; Gower, ST; Forrester, JA; Mladenoff, DJ",Effects of winter selective tree harvest on soil microclimate and surface CO2 flux of a northern hardwood forest,FOREST ECOLOGY AND MANAGEMENT,259,3,257,265,2010,,,Y,Y,10.1016/j.foreco.2009.10.004,N,2,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000273986000003,0378-1127,,2275,2230,
378,Rs,5666,"Almagro, M; Lopez, J; Boix-Fayos, C; Albaladejo, J; Martinez-Mena, M",Belowground carbon allocation patterns in a dry Mediterranean ecosystem: A comparison of two models,SOIL BIOLOGY & BIOCHEMISTRY,42,9,1549,1557,2010,,,Y,Y,10.1016/j.soilbio.2010.05.031,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000280986600021,0038-0717,,2281,2236,
379,Rs,5670,"Kaur, K; Jalota, RK; Midmore, DJ",Soil respiration rate and its sensitivity to temperature in pasture systems of dry-tropics,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,60,5,407,419,2010,,,Y,Y,10.1080/09064710903071122,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000281154600003,0906-4710,,2283,2238,N
380,Rs,5688,"Kutsch, WL; Persson, T; Schrumpf, M; Moyano, FE; Mund, M; Andersson, S; Schulze, ED",Heterotrophic soil respiration and soil carbon dynamics in the deciduous Hainich forest obtained by three approaches,BIOGEOCHEMISTRY,100,1月3日,167,183,2010,,,Y,Y,10.1007/s10533-010-9414-9,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000281568700012,0168-2563,,2291,2245,
381,"Rs,Ra,Rh",5697,"Bader, MKF; Korner, C",No overall stimulation of soil respiration under mature deciduous forest trees after 7 years of CO2 enrichment,GLOBAL CHANGE BIOLOGY,16,10,2830,2843,2010,,,Y,Y,10.1111/j.1365-2486.2010.02159.x,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000281676700016,1354-1013,,2293,2247,
382,"Rs,Ra,Rh",5698,"Pendall, E; Schwendenmann, L; Rahn, T; Miller, JB; Tans, PP; White, JWC","Land use and season affect fluxes of CO2, CH4, CO, N2O, H-2 and isotopic source signatures in Panama: evidence from nocturnal boundary layer profiles",GLOBAL CHANGE BIOLOGY,16,10,2721,2736,2010,,,Y,Y,10.1111/j.1365-2486.2010.02199.x,N,2,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000281676700008,1354-1013,,2294,2248,
383,Rs,5699,"Khomik, M; Arain, MA; Brodeur, JJ; Peichl, M; Restrepo-Coupe, N; McLaren, JD","Relative contributions of soil, foliar, and woody tissue respiration to total ecosystem respiration in four pine forests of different ages",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,115,,,,2010,,,Y,Y,10.1029/2009JG001089,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000281756100001,0148-0227,,2295,2249,
384,Rs,5700,"Mariscal-Sancho, I; Santano, J; Mendiola, MA; Peregrina, F; Espejo, R",Carbon Dioxide Emission Rates and beta-Glucosidase Activity in Mediterranean Ultisols Under Different Soil Management,SOIL SCIENCE,175,9,453,460,2010,,,Y,Y,10.1097/SS.0b013e3181f51704,N,2,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000281793000006,0038-075X,,2296,2250,
385,Rs,5701,Jiang Yan; Wang Bing; Wang Yu-ru; Yang Qing-pei,Soil respiration in subtropical forests and model simulation of its relationships with soil temperature and moisture content,Yingyong Shengtai Xuebao,21,7,1641,1648,2010,,,Y,Y,,Y,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,BIOSIS:PREV201000542232,1001-9332,,2297,2251,Y
386,Rs,5702,Li Ren-hong; Tu Li-hua; Hu Ting-xing; Zhang Jian; Lu Yang; Liu Wen-ting; Luo Shou-hua; Xiang Yuan-bin,Effects of simulated nitrogen deposition on soil respiration in a Neosinocalamus affinis plantation in Rainy Area of West China,Yingyong Shengtai Xuebao,21,7,1649,1655,2010,,,Y,Y,,Y,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,BIOSIS:PREV201000542233,1001-9332,,2298,2252,Y
387,Rs,5724,"Prevost-Boure, NC; Soudani, K; Damesin, C; Berveiller, D; Lata, JC; Dufrene, E",Increase in aboveground fresh litter quantity over-stimulates soil respiration in a temperate deciduous forest,APPLIED SOIL ECOLOGY,46,1,26,34,2010,,,Y,Y,10.1016/j.apsoil.2010.06.004,N,2,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000282922000004,0929-1393,,2301,2255,
388,Rs,5727,"Fenn, KM; Malhi, Y; Morecroft, MD",Soil CO2 efflux in a temperate deciduous forest: Environmental drivers and component contributions,SOIL BIOLOGY & BIOCHEMISTRY,42,10,1685,1693,2010,,,Y,Y,10.1016/j.soilbio.2010.05.028,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000282923400003,0038-0717,,2303,2257,
389,"Rs,Ra,Rh",5732,Hu Zheng-hua; Li Han-mao; Yang Yan-ping; Chen Shu-tao; Li Cen-zi; Shen Shuang-he,Effects of Simulated Nitrogen Deposition on Soil Respiration in Northern Subtropical Deciduous Broad-leaved Forest,Huanjing Kexue,31,8,1726,1732,2010,,,Y,Y,,N,2,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,BIOSIS:PREV201000581370,0250-3301,,2307,2261,Y
390,Rs,5750,"Jana, Bipal K.; Biswas, Soumyajit; Sonkar, Sashi; Majumder, Mrinmoy; Roy, Pankaj; Mazumdar, Asis",Estimation of Soil Carbon Stock and Soil Respiration Rate of Recreational and Natural Forests in India,Impact of Climate Change on Natural Resource Management,,,329,343,2010,,,Y,Y,10.1007/978-90-481-3581-3_18,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,BIOSIS:PREV201000597583,,,2314,2268,
391,Rs,5766,"Zimmermann, M; Meir, P; Bird, MI; Malhi, Y; Ccahuana, AJQ",Temporal variation and climate dependence of soil respiration and its components along a 3000 m altitudinal tropical forest gradient,GLOBAL BIOGEOCHEMICAL CYCLES,24,,,,2010,,,Y,Y,10.1029/2010GB003787,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000283942800001,0886-6236,,2318,2272,
392,"Rs,Ra,Rh",5800,Tu Li-hua; Hu Ting-xing; Zhang Jian; He Yuan-yang; Tian Xiang-yu; Xiao Yin-long,Effects of simulated nitrogen deposition on the fine root characteristics and soil respiration in a Pleioblastus amarus plantation in Rainy Area of West China,Yingyong Shengtai Xuebao,21,10,2472,2478,2010,,,Y,Y,,Y,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,BIOSIS:PREV201100022902,1001-9332,,2327,2281,Y
393,Rs,5824,"Liang, N; Hirano, T; Zheng, ZM; Tang, J; Fujinuma, Y",Soil CO2 efflux of a larch forest in northern Japan,BIOGEOSCIENCES,7,11,3447,3457,2010,,,Y,Y,10.5194/bg-7-3447-2010,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000284756300005,1726-4170,,2330,2284,
394,"Rs,Ra,Rh",5831,"Hojjati, Seyed Mohammd; Lamersdorf, Norbert P.","Effect of canopy composition on soil CO2 emission in a mixed spruce-beech forest at Soiling, Central Germany",Journal of Forestry Research (Harbin),21,4,461,464,2010,,,Y,Y,10.1007/s11676-010-0098-8,N,1,,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,BIOSIS:PREV201100124274,1007-662X(print)|1993-0607(electronic),,2333,2287,
395,"Rs,Ra,Rh",5856,"Yu, XX; Zha, TS; Pang, Z; Wu, B; Wang, XP; Chen, GP; Li, CP; Cao, JX; Jia, GD; Li, XZ; Wu, HL",Response of Soil Respiration to Soil Temperature and Moisture in a 50-Year-Old Oriental Arborvitae Plantation in China,PLOS ONE,6,12,,,2011,,,Y,Y,10.1371/journal.pone.0028397,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000298173500016,1932-6203,,2340,2295,
396,Rs,5877,"Cruvinel, EBF; Bustamante, MMD; Kozovits, AR; Zepp, RG","Soil emissions of NO, N(2)O and CO(2) from croplands in the savanna region of central Brazil",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,144,1,29,40,2011,,,Y,Y,10.1016/j.agee.2011.07.016,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000298898200004,0167-8809,,2350,2305,
397,Rs,5894,"Litton, CM; Giardina, CP; Albano, JK; Long, MS; Asner, GP",The magnitude and variability of soil-surface CO(2) efflux increase with mean annual temperature in Hawaiian tropical montane wet forests,SOIL BIOLOGY & BIOCHEMISTRY,43,11,2315,2323,2011,,,Y,Y,10.1016/j.soilbio.2011.08.004,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000295745700014,0038-0717,,2356,2311,
398,Rs,5895,"Wu, JP; Liu, ZF; Chen, DM; Huang, GM; Zhou, LX; Fu, SL",Understory plants can make substantial contributions to soil respiration: Evidence from two subtropical plantations,SOIL BIOLOGY & BIOCHEMISTRY,43,11,2355,2357,2011,,,Y,Y,10.1016/j.soilbio.2011.07.011,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000295745700019,0038-0717,,2357,2312,
399,Rs,5927,"Chen, DM; Zhang, CL; Wu, JP; Zhou, LX; Lin, YB; Fu, SL",Subtropical plantations are large carbon sinks: Evidence from two monoculture plantations in South China,AGRICULTURAL AND FOREST METEOROLOGY,151,9,1214,1225,2011,,,Y,Y,10.1016/j.agrformet.2011.04.011,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000294032000006,0168-1923,,2367,2322,
400,"Rs,Ra,Rh",5929,"Liu, J; Jiang, PK; Wang, HL; Zhou, GM; Wu, JS; Yang, F; Qian, XB",Seasonal soil CO(2) efflux dynamics after land use change from a natural forest to Moso bamboo plantations in subtropical China,FOREST ECOLOGY AND MANAGEMENT,262,6,1131,1137,2011,,,Y,Y,10.1016/j.foreco.2011.06.015,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000293367800026,0378-1127,,2369,2324,
401,Rs,5935,"Wang, YD; Li, QK; Wang, HM; Wen, XF; Yang, FT; Ma, ZQ; Liu, YF; Sun, XM; Yu, GR",Precipitation frequency controls interannual variation of soil respiration by affecting soil moisture in a subtropical forest plantation,CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,41,9,1897,1906,2011,,,Y,Y,10.1139/X11-105,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000295992900014,0045-5067,,2373,2328,Y
402,Rs,5949,"Carbone, MS; Still, CJ; Ambrose, AR; Dawson, TE; Williams, AP; Boot, CM; Schaeffer, SM; Schimel, JP",Seasonal and episodic moisture controls on plant and microbial contributions to soil respiration,OECOLOGIA,167,1,265,278,2011,,,Y,Y,10.1007/s00442-011-1975-3,N,2,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000293914000026,0029-8549,,2376,2331,
403,Rs,5954,"Abdalla, M; Kumar, S; Jones, M; Burke, J; Williams, M",Testing DNDC model for simulating soil respiration and assessing the effects of climate change on the CO(2) gas flux from Irish agriculture,GLOBAL AND PLANETARY CHANGE,78,3月4日,106,115,2011,,,Y,Y,10.1016/j.gloplacha.2011.05.011,N,2,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000295313500004,0921-8181,,2379,2334,
404,Rs,5969,"Castillo-Monroy, AP; Maestre, FT; Rey, A; Soliveres, S; Garcia-Palacios, P",Biological Soil Crust Microsites Are the Main Contributor to Soil Respiration in a Semiarid Ecosystem,ECOSYSTEMS,14,5,835,847,2011,,,Y,Y,10.1007/s10021-011-9449-3,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000292813800012,1432-9840,,2383,2338,
405,Rs,5984,"Lellei-Kovacs, E; Kovacs-Lang, E; Botta-Dukat, Z; Kalapos, T; Emmett, B; Beier, C",Thresholds and interactive effects of soil moisture on the temperature response of soil respiration,EUROPEAN JOURNAL OF SOIL BIOLOGY,47,4,247,255,2011,,,Y,Y,10.1016/j.ejsobi.2011.05.004,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000293869600006,1164-5563,,2392,2347,
406,Rs,5994,"Chiti, T; Neubert, R; Janssens, I; Yuste, J; Sirignano, C; Certini, G","Radiocarbon based assessment of soil organic matter contribution to soil respiration in a pine stand of the Campine region, Belgium",PLANT AND SOIL,344,1月2日,273,282,2011,,,Y,Y,10.1007/s11104-011-0745-7,N,2,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000291654600017,0032-079X,,2394,2349,
407,"Rs,Ra,Rh",6002,"Cusack, DF; Silver, WL; Torn, MS; McDowell, WH",Effects of nitrogen additions on above- and belowground carbon dynamics in two tropical forests,BIOGEOCHEMISTRY,104,1月3日,203,225,2011,,,Y,Y,10.1007/s10533-010-9496-4,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000291168900015,0168-2563,,2399,2354,
408,Rs,6010,"Takahashi, M; Hirai, K; Limtong, P; Leaungvutivirog, C; Panuthai, S; Suksawang, S; Anusontpornperm, S; Marod, D",Topographic variation in heterotrophic and autotrophic soil respiration in a tropical seasonal forest in Thailand,SOIL SCIENCE AND PLANT NUTRITION,57,3,452,465,2011,,,Y,Y,10.1080/00380768.2011.589363,N,1,2/14/2012,Topic=(soil respiration or soil surface co2 flux or soil co2 efflux) AND Year Published=(2010),,WOS:000293673800010,0038-0768,,2400,2355,
